Dimension 1-10:
1 898
2 1336
3 270
4 279
5 320
6 333
7 347
8 386
9 414
10 435
1 372
2 646
3 993
4 1015
5 1522
6 1923
7 2583
8 3048
9 3478
10 4167
1 249
2 438
3 739
4 1105
5 1497
6 1971
7 2500
8 3213
9 3870
10 4610
Next dimension 10-100:
10 466
20 658
30 949
40 1196
50 1395
60 1625
70 1886
80 2053
90 2264
100 2515
10 4217
20 10749
30 22484
40 35500
50 53343
60 70738
70 90495
80 118508
90 145417
100 199288
10 5513
20 16388
30 33108
40 56047
50 82987
60 116515
70 155370
80 196869
90 244588
100 297760
Next dimension 100-1000:
100 2716
200 4727
300 7150
400 12713
500 12956
600 13735
700 15883
800 18115
900 20316
1000 22655
100 178283
200 712690
300 1507045
400 2395103
500 3838003
600 4934509
700 6814592
800 8967607
900 11111758
1000 13111315
100 273515
200 1068593
300 2394733
400 4353244
500 6747988
600 9562436
700 12456308
800 16177440
900 20697804
1000 25292105
