Dimension 1-10:
1 124
2 649
3 146
4 204
5 237
6 296
7 359
8 444
9 513
10 487
1 174
2 274
3 382
4 439
5 642
6 730
7 931
8 1038
9 1246
10 1231
1 50
2 131
3 161
4 218
5 292
6 406
7 519
8 586
9 592
10 585
Next dimension 10-100:
10 535
20 1136
30 2021
40 2405
50 3416
60 4173
70 5597
80 5580
90 6440
100 7471
10 1489
20 2857
30 11801
40 8851
50 10131
60 14342
70 16391
80 19047
90 22336
100 24668
10 777
20 1343
30 2158
40 2724
50 3655
60 4504
70 6266
80 5907
90 6901
100 7889
Next dimension 100-1000:
100 7618
200 15724
300 26502
400 34422
500 45728
600 58075
700 65444
800 75024
900 87102
1000 97597
100 16030
200 36149
300 62634
400 87838
500 116661
600 150699
700 174363
800 195527
900 234100
1000 250019
100 7371
200 15294
300 25611
400 33303
500 44221
600 58322
700 63280
800 72525
900 84338
1000 94945
